slug,page_id,title
tools-tools-paint-mixer-brush,4ZZZnotM8bx42H1NedPN0B,Paint Mixer Brush Tool
get-started-open-document,7pUIlz53AUtBqGkw6ljAf5,Opening documents and images
tools-tools-adjustment-brush,32KBej6hDOfQUWeLYlNohJ,Adjustment Brush Tool
tools-tools-burn-brush,4aczvB7xNIigYTSDhD2o2H,Burn Brush Tool
filters-filter-gaussian-blur,52ufvO1YZ3YH43FBJ0gv5Q,Gaussian Blur
tools-tools-inpainting-brush,5RiRdAH6hBlECK8x1wEUd4,Inpainting Brush Tool
workspace-expressions,3oscUlwiaCdvpvW65C6UnK,Expressions for field input
filters-filter-halftone,2iONxYpIQL4qwOcXaD7auR,Halftone
object-control-object-grids,5Be7iNdeQngnr8gJYLL7hE,Quick Grids
filters-lighting-effects,4PUrvIH2pBBm8hs9AFj0n2,Lighting effects
filters-filter-field-blur,tOYb0r0kelLCEEdQvoVEO,Field Blur
filters-filter-voronoi,7Az1LS2S5VHujvkMgZBZrT,Voronoi
filters-filter-lens-distortion,1uQdXNhPH8VHUblWtRlKeQ,Lens Distortion
introduction-key-features-pagelayout,2QyL5xV59B7V7SweoQJgHQ,Key features - page layout
tools-tools-filter-brush,2BlNIHeMsfXGGeY4kzFSLd,Filter Brush Tool
filters-filter-minimum-blur,5klt5DPjn5cVhUogrMKQ5b,Minimum Blur
filters-filter-box-blur,6eVR2WXG9R53hAkX7eMKHY,Box Blur
tools-tools-portrait-lighting,1ZLnWwUHbBh8x2EpyUIwl8,Portrait Lighting Tool
introduction-about-affinity,3HZQ4CHWv3b7w0GGxOeEcg,About Affinity
filters-filter-mesh-warp,6D89JMA5ZOv5qE3bppJzX0,Live Mesh Warp
object-control-duplicate,4f8ulnjnXlKXW03gjSyQzy,Duplicating
tools-tools-sharpen-brush,7yCtSSQecYkqFR71UFKtyf,Sharpen Brush Tool
adjustments-tonal-adjustments,7zgcyEzjrkDxqx1MJ3GubZ,Tonal adjustments
filters-filter-proceduraltexture,47poCaeZidpdvvU0MDuZfr,Procedural Texture
workspace-customizing-studios,6CkpWYriHKew18iiSyS6x9,Customizing Studios
channels-channels-selecting-editing,6n25N2U15vcwzwcrICYt9b,Editing channels
layer-fx-layer-fx-inner-shadow,1wnFid04wSnzuoPikexwlq,Inner Shadow
tools-tools-bad-pixel-map,69aDqggWdVq20xlA0FMhtG,Bad Pixel Map Tool
tools-tools-paint-brush,5VbobVTghDTR8gYcqo3QHX,Paint Brush Tool
filters-filter-vignette,400gMuMM1TWf410eTVdtp5,Vignette
filters-filter-clarity,2xxNWZGe2650PseePjObHX,Clarity
layer-fx-layer-fx-gaussian-blur,6HwlOMz7TuLfLpZIsfvWhh,Gaussian Blur
tools-tools-frame-text,44aqlZhwT7qlZ6IRxi8Wmo,Frame Text Tool
get-started-open-raw,1150FhoNGDEmlE4qkmqO7Q,Opening a RAW image
canva-ai-canva-ai-generate-image,6ovBG4U7AQI3uQuTb2CFIo,Generate Image (Canva AI)
introduction-new-features,1LLpQPvFOHpv9foYuneRNT,New features for Affinity 2.x users
get-started-close,ob03Ez88TTMBh68GIc7Y1,Closing
design-aids-baseline-grids,46FNSxzru7zDZyjrA0wYhF,Baseline grids
get-started-templates,3SWsSh8rK71zSIBQ4rsVkI,Document templates
object-control-cutting,7v1IdcAPN2JzT6nmwiikmI,Cutting
introduction-key-features-photoedit,14zWBuflwp2rZpX6AKKURp,Key features - photo editing
